url,doc_id,title,audience,category,language,document_version,license_or_permission
https://example.com/policy/returns,return-refund-deadline,Thời hạn đổi trả và hoàn tiền,buyer,returns-policy,vi,not-stated,public-source
https://www.thegioididong.com/chinh-sach-bao-hanh-san-pham,warranty-policy-thegioididong,Chính sách bảo hành sản phẩm Thegioididong,buyer,warranty-policy,vi,not-stated,public-source
https://www.dienmayxanh.com/chinh-sach-bao-hanh-san-pham,warranty-policy-dienmayxanh,Chính sách bảo hành sản phẩm Dienmayxanh,buyer,warranty-policy,vi,not-stated,public-source
